#MaxRadius:0.89956	MaxHeight:62.56	MaxLength:78.2
2634
0.82066	0.81996	0.82092
0.71105	2.3404	0.70498
0.58482	3.627	0.58453
0.70603	4.9093	0.69844
0.71989	6.3768	0.71988
0.85492	7.997	0.84736
0.6504	9.4793	0.64962
0.66416	10.784	0.662
0.6539	12.094	0.65377
0.74991	13.486	0.74401
0.72522	14.952	0.72383
0.66598	16.332	0.66558
0.64562	17.634	0.67291
0.82028	19.083	0.81279
0.62088	20.505	0.619
0.82768	21.932	0.82035
0.55905	23.292	0.55852
0.81031	24.637	0.8111
0.77403	26.219	0.76962
0.8312	27.82	0.82789
0.72283	29.363	0.72238
0.7577	30.837	0.75653
0.65987	32.243	0.6554
0.77829	33.666	0.77023
0.70711	35.145	0.70657
0.62502	36.537	0.62343
0.6228	37.784	0.62079
0.79643	39.19	0.79493
0.82034	40.804	0.81653
0.72097	42.337	0.71819
0.71378	43.767	0.70774
0.63893	45.124	0.63892
0.6386	46.437	0.6338
0.72924	47.798	0.72563
0.5672	49.194	0.56719
0.71154	50.465	0.71153
0.69825	52.059	0.69591
0.58771	53.334	0.58202
0.50157	54.411	0.49953
0.77036	55.646	0.76448
0.71108	57.115	0.71029
0.74023	58.555	0.73817
0.68229	59.967	0.68063
0.70855	61.349	0.70728
0.68636	62.735	0.68051
0.69231	64.1	0.69083
0.72422	65.502	0.72316
0.70426	66.919	0.69635
0.68748	68.306	0.68687
0.61371	69.591	0.84977
0.70012	70.892	0.69928
0.67755	72.267	0.67288
0.72093	73.657	0.71656
0.80154	75.167	0.79858
0.68191	76.636	0.68174
0.7516	78.059	0.75035
0.77732	0.77265	2.4173
0.71366	2.6063	2.093
0.76964	4.0737	1.9097
0.70932	5.5781	1.9322
0.76851	7.031	2.1323
0.6771	8.4645	2.3035
0.68148	9.7747	1.948
0.75013	11.204	2.0077
0.71893	12.671	1.9577
0.85337	14.261	2.1399
0.71123	15.811	1.9397
0.73538	17.255	2.0003
0.78098	18.727	2.3613
0.69129	20.145	1.879
0.80468	21.543	2.3976
0.72552	23.104	1.8278
0.67306	24.42	2.2787
0.68951	25.771	2.1555
0.59328	27.039	2.0081
0.83254	28.411	2.3815
0.81448	30.032	2.1047
0.71849	31.733	1.9283
0.60109	33.048	1.9984
0.79015	34.429	2.1309
0.80073	36	1.9413
0.71529	37.505	1.9267
0.73122	38.896	2.2909
0.68407	40.302	2.223
0.66601	41.642	2.0441
0.81209	43.126	2.0842
0.63145	44.538	1.7986
0.6811	45.843	1.8049
0.63276	47.15	1.9232
0.69311	48.473	1.9652
0.81116	49.947	2.2063
0.70024	51.416	1.9263
0.8413	52.947	1.9526
