#MaxRadius:0.89956	MaxHeight:200	MaxLength:100
10792
0.68106	0.67614	0.67975
0.59536	1.9466	0.72066
0.61781	3.1528	0.61491
0.78109	4.538	0.75847
0.7022	6.0164	0.69917
0.63332	7.3445	0.6303
0.7321	8.702	0.72788
0.85379	10.441	0.86915
0.71	11.992	0.70308
0.79888	13.493	0.78548
0.65237	14.929	0.64638
0.58679	16.463	0.59003
0.76572	17.812	0.76365
0.73469	19.301	0.72468
0.65078	20.679	0.65013
0.82803	22.143	0.82534
0.75547	23.717	0.74766
0.7649	25.201	1.0403
0.63598	26.53	0.62472
0.62443	27.778	0.6232
0.59272	28.985	0.58486
0.72576	30.288	0.722
0.64044	31.644	0.63971
0.74742	33.022	0.73927
0.64937	34.406	0.64868
0.7325	35.777	0.72239
0.72227	37.219	0.71426
0.67431	38.601	0.67357
0.78992	40.047	0.78614
0.71695	41.539	0.70426
0.61451	42.869	0.7306
0.66678	44.149	0.66585
0.7389	45.55	0.73226
0.64063	46.92	0.63136
0.68588	48.234	0.68207
0.76117	49.666	0.75445
0.79272	51.213	0.79168
0.65741	52.648	0.6569
0.72857	54.024	0.72444
0.67657	55.416	0.67588
0.81932	56.894	0.80555
0.68674	58.382	0.68536
0.687	59.745	0.67757
0.73605	61.164	0.73164
0.6851	62.58	0.78168
0.74491	64.003	0.73668
0.71305	65.456	0.7088
0.72489	66.957	0.71995
0.79282	68.547	0.78094
0.63729	69.959	0.63385
0.70745	71.295	0.70392
0.62013	72.606	0.6187
0.81087	74.011	0.79989
0.65773	75.459	0.65389
0.65378	76.74	0.86576
0.76946	78.145	0.76395
0.58401	79.473	0.58065
0.70002	80.689	0.95327
0.72485	82.101	0.9369
0.68392	83.47	0.67302
0.80219	84.934	0.79981
0.78169	86.5	0.77359
0.70239	87.971	0.69929
0.62368	89.284	0.62226
0.7132	90.599	0.79217
0.80997	92.111	0.79525
0.83119	93.986	0.82654
0.69915	95.507	0.69725
0.74092	96.943	0.72971
0.70731	98.57	0.7073
0.63491	1.3448	1.8076
0.64523	2.6174	1.7558
0.72396	3.9351	2.1085
0.73502	5.3869	1.9842
0.69826	6.8072	1.8494
0.58823	8.081	1.8914
0.7118	9.3641	1.9996
0.58713	10.59	2.3741
0.61157	11.708	1.9848
0.8182	13.083	2.3296
0.62608	14.44	1.8345
0.60201	15.761	1.5668
0.81374	17.049	2.1297
0.68712	18.565	2.0652
0.62709	19.9	1.9293
0.74442	21.25	2.108
0.76472	22.946	2.1964
0.54801	24.225	1.9362
0.62093	25.192	2.5775
0.75748	26.431	1.9986
0.66149	27.84	1.9033
0.74565	29.237	1.8843
0.77857	30.722	2.1534
0.68829	32.147	1.868
0.71844	33.525	2.1055
0.74839	34.968	1.9487
0.81266	36.516	2.0674
0.62071	37.947	1.8335
0.73578	39.272	2.0964
0.77458	40.935	2.0636
0.59234	42.257	1.7702
0.73602	43.55	1.9311
0.83764	45.072	2.2225
0.69512	46.551	1.8967
0.53609	48.007	1.8753
0.62177	48.993	2.4778
0.79585	50.363	2.1301
0.63857	51.786	2.1028
0.80612	53.216	2.0183
0.76247	54.779	2.0095
0.71135	56.237	2.1672
0.72084	57.743	2.074
0.58174	59.008	1.7851
0.7741	60.342	1.9903
0.78187	61.878	2.0688
