#MaxRadius:0.89998	MaxHeight:802	MaxLength:253
79995
0.74688	0.74688	0.89996
0.65672	2.1505	0.89996
0.63042	3.4376	0.89996
0.68954	4.7576	0.89996
0.58677	6.0339	0.89996
0.75298	7.3736	0.89996
0.72785	8.8545	0.89996
0.768	10.35	0.89996
0.63201	11.75	0.89996
0.71303	13.095	0.89996
0.68231	14.491	0.89996
0.70282	15.876	0.89996
0.58637	17.165	0.89996
0.72224	18.474	0.89996
0.77846	19.974	0.89996
0.62476	21.378	0.89996
0.68212	22.684	0.89996
0.68777	24.054	0.89996
0.61806	25.36	0.89996
0.66385	26.642	0.89996
0.76749	28.073	0.89996
0.71471	29.556	0.89996
0.627	30.897	0.89996
0.81434	32.339	0.89996
0.66643	33.819	0.89996
0.68337	35.169	0.89996
0.55153	36.404	0.89996
0.72464	37.68	0.89996
0.79446	39.199	0.89996
0.56071	40.555	0.89996
0.75098	41.866	0.89996
0.69169	43.309	0.89996
0.84398	44.845	0.89996
0.74661	46.435	0.89996
0.65598	47.838	0.89996
0.58644	49.08	0.89996
0.61568	50.282	0.89996
0.73299	51.631	0.89996
0.63277	52.997	0.89996
0.58845	54.218	0.89996
0.77478	55.581	0.89996
0.76994	57.126	0.89996
0.82947	58.725	0.89996
0.83255	60.387	0.89996
0.81589	62.036	0.89996
0.74319	63.595	0.89996
0.6642	65.002	0.89996
0.68466	66.351	0.89996
0.67293	67.709	0.89996
0.59058	68.972	0.89996
0.74656	70.309	0.89996
0.76916	71.825	0.89996
0.73704	73.331	0.89996
0.7709	74.839	0.89996
0.67704	76.287	0.89996
0.69846	77.663	0.89996
0.7159	79.077	0.89996
0.73042	80.523	0.89996
0.69861	81.952	0.89996
0.7671	83.418	0.89996
0.68472	84.87	0.89996
0.6492	86.204	0.89996
0.62331	87.476	0.89996
0.77163	88.871	0.89996
0.811	90.454	0.89996
0.71815	91.983	0.89996
0.65375	93.355	0.89996
0.67225	94.681	0.89996
0.75105	96.104	0.89996
0.60377	97.459	0.89996
0.66162	98.724	0.89996
0.67172	100.06	0.89996
0.80124	101.53	0.89996
0.77741	103.11	0.89996
0.81673	104.7	0.89996
0.66885	106.19	0.89996
0.66816	107.53	0.89996
0.64504	108.84	0.89996
0.65781	110.14	0.89996
0.74763	111.55	0.89996
0.63053	112.93	0.89996
0.7716	114.33	0.89996
0.7907	115.89	0.89996
0.67753	117.36	0.89996
0.73747	118.77	0.89996
0.65854	120.17	0.89996
0.54621	121.37	0.89996
0.85584	122.78	0.89996
0.75101	124.38	0.89996
0.7423	125.88	0.89996
0.74268	127.36	0.89996
0.61586	128.72	0.89996
0.73131	130.07	0.89996
0.69375	131.49	0.89996
0.68724	132.87	0.89996
0.63496	134.2	0.89996
0.67638	135.51	0.89996
0.73505	136.92	0.89996
0.80865	138.46	0.89996
0.66613	139.94	0.89996
0.85778	141.46	0.89996
0.7743	143.09	0.89996
0.6241	144.49	0.89996
0.71662	145.83	0.89996
0.64571	147.19	0.89996
0.70741	148.55	0.89996
0.67258	149.93	0.89996
0.71228	151.31	0.89996
0.62315	152.65	0.89996
0.77553	154.05	0.89996
0.7448	155.57	0.89996
0.67196	156.98	0.89996
0.787	158.44	0.89996
0.80931	160.04	0.89996
0.61883	161.47	0.89996
0.75756	162.84	0.89996
0.78451	164.39	0.89996
0.80375	165.97	0.89996
0.77489	167.55	0.89996
0.72106	169.05	0.89996
0.69412	170.46	0.89996
0.80851	171.97	0.89996
0.77645	173.55	0.89996
0.7029	175.03	0.89996
0.71154	176.44	0.89996
0.72733	177.88	0.89996
0.69546	179.31	0.89996
0.6727	180.67	0.89996
0.75752	182.1	0.89996
0.78338	183.65	0.89996
0.68084	185.11	0.89996
0.71792	186.51	0.89996
0.65728	187.88	0.89996
0.81231	189.35	0.89996
0.66945	190.83	0.89996
0.75563	192.26	0.89996
0.72045	193.74	0.89996
0.7163	195.17	0.89996
0.70595	196.6	0.89996
0.64162	197.94	0.89996
0.77678	199.36	0.89996
0.77717	200.91	0.89996
0.65072	202.34	0.89996
0.70765	203.7	0.89996
0.61596	205.02	0.89996
0.72896	206.37	0.89996
0.69122	207.79	0.89996
0.68859	209.17	0.89996
0.74216	210.6	0.89996
0.63732	211.98	0.89996
0.74402	213.36	0.89996
0.64379	214.75	0.89996
0.65955	216.05	0.89996
0.84881	217.56	0.89996
0.67391	219.08	0.89996
0.62992	220.39	0.89996
0.8214	221.84	0.89996
0.68638	223.35	0.89996
0.73221	224.77	0.89996
0.70193	226.2	0.89996
0.66105	227.56	0.89996
0.71107	228.93	0.89996
0.78154	230.43	0.89996
0.81573	232.02	0.89996
0.67395	233.51	0.89996
0.62169	234.81	0.89996
0.68575	236.12	0.89996
0.80544	237.61	0.89996
0.67861	239.09	0.89996
0.85674	240.63	0.89996
0.80719	242.29	0.89996
0.75311	243.85	0.89996
0.6405	245.25	0.89996
0.64855	246.53	0.89996
0.77679	247.96	0.89996
0.66852	249.41	0.89996
0.82046	250.89	0.89996
0.77349	252.49	0.89996
0.64988	1.0999	2.6999
0.70983	2.4596	2.6999
0.69487	3.8643	2.6999
0.79058	5.3497	2.6999
0.76134	6.9016	2.6999
0.66863	8.3316	2.6999
0.80878	9.809	2.6999
0.73396	11.352	2.6999
0.73683	12.823	2.6999
0.64952	14.209	2.6999
0.66892	15.527	2.6999
0.68967	16.886	2.6999
0.70565	18.281	2.6999
0.81765	19.805	2.6999
0.61962	21.242	2.6999
0.66054	22.522	2.6999
0.56455	23.747	2.6999
0.85594	25.168	2.6999
0.76096	26.784	2.6999
0.55847	28.104	2.6999
0.80781	29.47	2.6999
0.78991	31.068	2.6999
0.65674	32.514	2.6999
0.80157	33.973	2.6999
0.76026	35.535	2.6999
0.62575	36.921	2.6999
0.7687	38.315	2.6999
0.62069	39.704	2.6999
0.64636	40.971	2.6999
0.63819	42.256	2.6999
0.70201	43.596	2.6999
0.65827	44.957	2.6999
0.74019	46.355	2.6999
0.79765	47.893	2.6999
0.76124	49.452	2.6999
0.77693	50.99	2.6999
0.74211	52.509	2.6999
0.69887	53.95	2.6999
0.7606	55.409	2.6999
0.67805	56.848	2.6999
0.63834	58.164	2.6999
0.69264	59.495	2.6999
0.67288	60.861	2.6999
0.608	62.142	2.6999
0.68747	63.437	2.6999
0.68781	64.813	2.6999
0.78566	66.286	2.6999
0.72185	67.794	2.6999
0.69967	69.215	2.6999
0.72192	70.637	2.6999
0.7151	72.074	2.6999
0.73897	73.528	2.6999
0.85186	75.119	2.6999
0.6231	76.593	2.6999
0.74815	77.965	2.6999
0.68599	79.399	2.6999
0.65721	80.742	2.6999
0.59158	81.991	2.6999
0.69687	83.279	2.6999
0.56784	84.544	2.6999
0.70759	85.819	2.6999
0.56211	87.089	2.6999
0.73695	88.388	2.6999
0.62423	89.749	2.6999
0.80267	91.176	2.6999
0.76401	92.743	2.6999
0.64768	94.155	2.6999
0.67122	95.474	2.6999
0.7218	96.867	2.6999
0.6929	98.281	2.6999
0.70155	99.676	2.6999
0.8	101.18	2.6999
0.79636	102.77	2.6999
0.67347	104.24	2.6999
0.78226	105.7	2.6999
0.63487	107.12	2.6999
0.775	108.53	2.6999
0.78951	110.09	2.6999
0.61877	111.5	2.6999
0.65956	112.78	2.6999
0.74822	114.19	2.6999
0.78621	115.72	2.6999
0.67903	117.18	2.6999
0.69186	118.56	2.6999
0.76573	120.01	2.6999
0.65898	121.44	2.6999
0.72023	122.82	2.6999
0.77154	124.31	2.6999
0.63289	125.71	2.6999
0.68711	127.03	2.6999
0.68806	128.41	2.6999
0.81015	129.91	2.6999
0.76079	131.48	2.6999
0.76779	133.01	2.6999
0.68042	134.45	2.6999
0.61157	135.75	2.6999
0.68309	137.04	2.6999
0.69717	138.42	2.6999
0.75255	139.87	2.6999
0.77274	141.4	2.6999
0.72339	142.89	2.6999
0.61091	144.23	2.6999
0.71505	145.55	2.6999
0.68544	146.95	2.6999
0.77749	148.42	2.6999
0.71277	149.91	2.6999
0.73148	151.35	2.6999
0.8213	152.9	2.6999
0.73156	154.46	2.6999
0.68218	155.87	2.6999
0.67143	157.22	2.6999
0.85966	158.75	2.6999
0.78129	160.4	2.6999
0.61023	161.79	2.6999
0.65475	163.05	2.6999
0.73849	164.45	2.6999
0.68613	165.87	2.6999
0.85765	167.41	2.6999
0.66873	168.94	2.6999
0.78632	170.4	2.6999
0.66448	171.85	2.6999
0.55935	173.07	2.6999
0.70406	174.33	2.6999
0.72098	175.76	2.6999
0.74161	177.22	2.6999
0.68949	178.65	2.6999
0.67727	180.02	2.6999
0.80207	181.5	2.6999
0.66491	182.97	2.6999
0.67247	184.3	2.6999
0.76923	185.74	2.6999
0.59499	187.11	2.6999
0.78835	188.49	2.6999
0.65439	189.93	2.6999
0.66682	191.26	2.6999
0.73603	192.66	2.6999
0.85264	194.25	2.6999
0.66858	195.77	2.6999
0.62707	197.06	2.6999
0.74756	198.44	2.6999
0.73028	199.92	2.6999
0.79557	201.44	2.6999
0.73957	202.98	2.6999
0.62655	204.34	2.6999
0.69071	205.66	2.6999
0.75601	207.11	2.6999
0.6589	208.52	2.6999
0.58525	209.77	2.6999
0.74965	211.1	2.6999
0.68811	212.54	2.6999
0.70884	213.94	2.6999
0.74139	215.39	2.6999
0.65663	216.78	2.6999
0.79846	218.24	2.6999
0.68886	219.73	2.6999
0.75255	221.17	2.6999
0.76001	222.68	2.6999
0.5911	224.03	2.6999
0.66509	225.29	2.6999
0.80392	226.76	2.6999
0.69251	228.25	2.6999
0.72406	229.67	2.6999
